Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,,,,,
Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),,,,,acceleration resultant
0,0.05,9.6,1,-1.3,9.7,0,-0.1,0,,,,,0
0.05,0.05,9.7,1.1,-1.5,9.9,0,0,0,,,,,0.2
0.1,0.05,9.6,1,-1.3,9.8,0,0.2,0,,,,,0.1
0.15,0.05,9.6,1.1,-1.2,9.7,0.1,0,0,,,,,0
0.2,0.03,9.7,1.2,-1.3,9.8,0.1,0,0,,,,,0.1
0.25,0.04,9.7,1.2,-1.3,9.9,0,0,0,,,,,0.2
0.3,0.03,9.7,1.2,-1.4,9.9,0,0,0,,,,,0.2
0.35,0.04,9.7,1.3,-1.4,9.9,0.1,-0.1,0,,,,,0.2
0.4,0.03,9.7,1.2,-1.4,9.9,0.1,0.1,0,,,,,0.2
0.45,0.04,9.7,1.2,-1.2,9.8,0.1,0.1,0,,,,,0.1
0.5,0.04,9.6,1.1,-1.2,9.8,0,0,0,,,,,0.1
0.55,0.04,9.7,1.2,-1.2,9.8,0,-0.1,0,,,,,0.1
0.6,0.04,9.6,1.2,-1.4,9.8,0,0,0,,,,,0.1
0.65,0.04,9.7,1.2,-1.3,9.8,0,-0.1,0,,,,,0.1
0.7,0.04,9.7,1.2,-1.3,9.8,0,0,0,,,,,0.1
0.75,0.03,9.7,1.2,-1.2,9.9,0,0,0,,,,,0.2
0.8,0.04,9.7,1.1,-1.4,9.8,0,0,0,,,,,0.1
0.85,0.03,9.3,1.2,-1.5,9.5,0,0.1,0,,,,,-0.2
0.9,0.03,9.1,1.2,-1.7,9.3,0.1,0,0,,,,,-0.4
0.95,0.04,8.6,1.1,-1.2,8.7,0,-0.1,-0.1,,,,,-1
1,0.03,7.7,1.4,-1.7,8,0.1,-0.7,-0.4,,,,,-1.7
1.05,0.04,4.3,1.4,-2.4,5.1,0,-0.5,-0.6,,,,,-4.6
1.1,0.05,2.9,1,0.3,3.1,-0.2,-1.1,-0.8,,,,,-6.6
1.15,0.04,5.1,1.3,-0.3,5.2,-0.3,-1.5,-1,,,,,-4.5
1.2,0.03,7.7,2.2,-2.7,8.4,0,-2.5,-0.9,,,,,-1.3
1.25,0.01,12.8,4,-6.2,14.7,-0.1,-1.2,-0.8,,,,,5
1.3,0.01,19.4,6.6,-8.5,22.2,0.4,-1.8,-0.5,,,,,12.5
1.35,-0.03,26.6,7.3,-16,31.9,0.3,-0.2,-0.2,,,,,22.2
1.4,-0.04,32.7,9.2,-17.3,38.1,0.7,3,0.8,,,,,28.4
1.45,0.03,15.5,7.1,-8,18.9,0.1,3.7,1.7,,,,,9.2
1.5,0.06,2.3,4.7,-4.1,6.7,-0.8,2.5,1.3,,,,,-3
1.55,0.09,-18,0.7,-1.3,18.1,0.8,2.4,0.5,,,,,8.4
1.6,0.04,10.4,-0.7,4.8,11.4,1.4,-4.1,0.2,,,,,1.7
1.65,0.06,-0.5,-2.6,4.6,5.3,-0.9,4.8,0.2,,,,,-4.4
1.7,0.07,-2.5,-0.3,-0.6,2.6,-0.1,-1.9,0,,,,,-7.1
1.75,0.06,1.3,0.4,-1.6,2.1,0.4,-1,0,,,,,-7.6
1.8,0.07,-0.3,-1.2,1.5,1.9,0.1,1.1,-0.1,,,,,-7.8
1.85,0.07,-0.8,-0.3,-0.1,0.8,0.6,-0.7,-0.1,,,,,-8.9
1.9,0.07,-0.2,0.9,-0.8,1.2,0.4,-0.6,-0.2,,,,,-8.5
1.95,0.07,-1.3,2.6,-0.7,3,0.2,0.3,-0.5,,,,,-6.7
