Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3
Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 1 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 2 resultant ,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Accelertation 3 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
0,0.15,-9.6,-0.3,0.3,9.6,0,0,0,0,0.15,-9.5,1.4,0.5,9.6,0,0,0,0,0.15,-9.7,-0.2,0,9.7,0,0,-0.2
0.05,0.15,-9.8,-0.3,0.2,9.8,0.2,0,0,0.05,0.14,-9.8,1.5,0.2,9.9,0.3,0,-0.1,0.05,0.15,-9.9,-0.7,0.1,9.9,0.2,0,-0.2
0.1,0.14,-9.8,-0.3,0.2,9.8,0.2,0,0,0.1,0.15,-10.1,0.9,0.3,10.1,0.5,0.1,0,0.1,0.14,-9.8,-0.3,0.1,9.8,0.1,0,-0.2
0.15,0.15,-9.8,-0.3,0.2,9.8,0.2,0,0,0.15,0.15,-9.6,1.1,0.2,9.6,0,0,0,0.15,0.15,-9.9,-0.2,-0.1,9.9,0.2,0,-0.2
0.2,0.14,-9.8,-0.1,0.2,9.8,0.2,0,0,0.2,0.15,-9.3,0.9,0.4,9.4,-0.2,0,0,0.2,0.15,-9.6,-0.7,0,9.7,0,0,-0.1
0.25,0.14,-9.9,-0.1,0.2,9.9,0.3,0,0,0.25,0.14,-9.6,1,0.1,9.6,0,0.1,0,0.25,0.15,-9.9,-0.7,0.1,10,0.3,0,-0.1
0.3,0.15,-9.8,-0.1,0.3,9.8,0.2,-3.70E-04,0,0.3,0.15,-10.3,0.9,-0.3,10.3,0.7,0,0,0.3,0.15,-9.7,-0.8,-0.1,9.7,0,0.1,-0.1
0.35,0.15,-9.8,-0.1,0.3,9.8,0.2,-3.70E-04,0,0.35,0.15,-9.8,1.2,0.2,9.8,0.2,0,0,0.35,0.15,-9.8,-1.2,-0.1,9.9,0.2,0,0.1
0.4,0.15,-9.9,-0.1,0.2,9.9,0.3,8.60E-04,0,0.4,0.15,-10,1,0.1,10.1,0.5,0,0,0.4,0.15,-10,-0.2,0,10,0.3,0,-0.1
0.45,0.15,-9.8,-0.1,0.3,9.8,0.2,0,0,0.45,0.15,-9.6,0.8,0,9.7,0.1,0,0,0.45,0.15,-9.9,-0.8,-0.2,10,0.3,0,0
0.5,0.15,-9.8,-0.1,0.2,9.8,0.2,0,0,0.5,0.14,-9.6,1.1,0.2,9.6,0,0,0,0.5,0.15,-9.6,-0.6,0,9.7,0,-0.1,0
0.55,0.15,-9.9,-0.1,0.2,9.9,0.3,0,0,0.55,0.14,-10,0.8,0.1,10.1,0.5,0,0,0.55,0.15,-9.8,-0.9,0.1,9.8,0.1,0,0
0.6,0.15,-9.8,-0.1,0.2,9.8,0.2,0,0,0.6,0.14,-9.8,0.8,0.3,9.8,0.2,0,1.20E-04,0.6,0.15,-9.8,-0.9,-0.1,9.9,0.2,0,0.1
0.65,0.15,-9.8,-0.1,0.3,9.8,0.2,0,0,0.65,0.14,-9.8,0.8,0.2,9.8,0.2,0,0,0.65,0.14,-9.6,-0.8,0.1,9.6,-0.1,-0.1,0.1
0.7,0.14,-9.8,-0.1,0.2,9.8,0.2,0,0,0.7,0.15,-9.6,0.9,0.2,9.7,0.1,0,0,0.7,0.14,-10,-0.7,0,10,0.3,0,0
0.75,0.14,-9.8,-0.2,0.2,9.8,0.2,0,0,0.75,0.15,-9.8,0.9,0.3,9.8,0.2,0,0,0.75,0.14,-9.8,-0.6,0,9.8,0.1,-0.1,0
0.8,0.15,-9.8,-0.1,0.2,9.8,0.2,-3.70E-04,0,0.8,0.15,-9.7,1.1,0.2,9.8,0.2,0,0,0.8,0.14,-9.7,-0.7,0.2,9.7,0,0,0
0.85,0.15,-9.8,-0.1,0.2,9.8,0.2,0,0,0.85,0.15,-9.5,1.2,0.4,9.6,0,0,0,0.85,0.14,-9.7,-0.7,0,9.8,0.1,0,0
0.9,0.15,-9.8,0,0.2,9.8,0.2,8.60E-04,0,0.9,0.15,-10.1,2.2,-0.3,10.3,0.7,0,0.1,0.9,0.15,-9.8,-0.9,-0.1,9.8,0.1,0,0
0.95,0.14,-9.8,0,0.3,9.8,0.2,0,0,0.95,0.15,-8.7,4.3,-0.9,9.7,0.1,0.1,0.5,0.95,0.15,-9.7,-0.8,0.1,9.8,0.1,-0.1,0
1,0.15,-9.9,-0.1,0.4,9.9,0.3,0,0,1,0.14,-9.1,2.1,-0.6,9.4,-0.2,-0.2,0.8,1,0.14,-9.9,-0.8,0.1,10,0.3,0,0.1
1.05,0.14,-9.9,0.6,0.1,9.9,0.3,0,0.1,1.05,0.12,-1.2,-0.2,0.4,1.3,-8.3,-0.5,0.7,1.05,0.14,-9.4,0.1,-0.1,9.4,-0.3,-0.2,0.3
1.1,0.15,-10.2,0.5,-0.2,10.2,0.6,-0.1,0.3,1.1,0.14,-4.5,0.4,-1,4.6,-5,0.8,1.4,1.1,0.15,-10.2,0.5,-0.1,10.2,0.5,0.2,0.5
1.15,0.15,-9.8,1.4,0,9.9,0.3,-0.2,0.5,1.15,0.13,-3.4,4.6,-1.5,5.9,-3.7,-0.2,1.5,1.15,0.14,-9.1,0,-0.1,9.1,-0.6,-0.3,0.8
1.2,0.13,-7.5,1.3,-0.2,7.6,-2,0,0.7,1.2,0.16,-11.5,2.3,2,11.9,2.3,1.1,1.1,1.2,0.14,-7.6,0.3,0.1,7.6,-2.1,-0.1,1.2
1.25,0.13,-4.6,2.9,-0.7,5.5,-4.1,-0.3,1.1,1.25,0.15,-9.6,1.8,-0.6,9.8,0.2,-1,0.7,1.25,0.12,-6.5,1.6,-0.9,6.8,-2.9,-0.2,1.6
1.3,0.14,-4.7,1.7,1.3,5.2,-4.4,0.2,1,1.3,0.17,-12.9,5.7,1,14.1,4.5,0.5,0.5,1.3,0.12,-4.1,1.6,-1.5,4.6,-5.1,-0.4,1.8
1.35,0.13,-6.2,0.7,-2.4,6.7,-2.9,-0.1,1.7,1.35,0.17,-14.7,6.6,0,16.1,6.5,0.2,0.1,1.35,0.12,-2.6,1.2,2.3,3.7,-6,-0.1,1.2
1.4,0.13,-3.7,-1.6,2.2,4.6,-5,8.60E-04,1.6,1.4,0.17,-14.5,6.1,0,15.8,6.2,-0.4,0,1.4,0.15,-10.3,1.7,-0.5,10.5,0.8,1.3,1.2
1.45,0.14,-9.9,3.3,0.1,10.4,0.8,0.2,1.2,1.45,0.18,-17.4,6.5,-1.7,18.7,9.1,0.7,-0.1,1.45,0.14,-10.4,3.1,0.5,10.8,1.1,-1,0.6
1.5,0.15,-13.4,5.3,2.3,14.6,5,-0.3,0.7,1.5,0.16,-13.1,7.4,0.9,15,5.4,0,-0.4,1.5,0.16,-14.4,3.5,1.6,14.9,5.2,1,0.4
1.55,0.15,-14.2,6.4,-0.5,15.6,6,0.1,0.2,1.55,0.17,-16.6,3.2,-0.4,16.9,7.3,0.1,-0.8,1.55,0.16,-15.2,7.6,-0.4,17,7.3,-0.2,0
1.6,0.16,-14.6,6.6,2.1,16.2,6.6,-0.2,0.5,1.6,0.18,-20.7,3.8,1,21.1,11.5,0.3,-0.7,1.6,0.18,-17.1,7.9,0.2,18.9,9.2,0.2,-0.4
1.65,0.17,-16.4,5.8,1.3,17.4,7.8,-0.1,0.2,1.65,0.2,-23.9,3.5,-0.8,24.2,14.6,1.2,-1.5,1.65,0.18,-19.6,5.3,0.1,20.3,10.6,-0.3,-0.4
1.7,0.15,-14.8,6.3,0.3,16.1,6.5,0.1,0,1.7,0.17,-20.7,0.2,-4.3,21.2,11.6,-0.1,-2.6,1.7,0.18,-21.3,5.2,0.6,21.9,12.2,0.3,-0.8
1.75,0.16,-14.2,5.6,1.1,15.3,5.7,0.1,-0.7,1.75,0.09,2.9,8.4,5.4,10.4,0.8,-3.7,-1.8,1.75,0.19,-24.3,3.5,0.5,24.5,14.8,0.6,-1.3
